City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
228,Cockburn Town,TC,clear sky,21.46,-71.14,76.48,Osprey Beach Hotel
229,Czarnkow,PL,clear sky,52.9,16.56,53.01,Apartament Strumyk
230,Bambous Virieux,MU,broken clouds,-20.34,57.76,78.01,Casa Tia Villa
231,Cap Malheureux,MU,broken clouds,-19.98,57.61,78.01,Pereybere Hotel & Spa
232,Puerto Leguizamo,CO,broken clouds,-0.19,-74.78,74.64,la casona de juancho
233,Huarmey,PE,scattered clouds,-10.07,-78.15,74.79,Hotel Miramar
234,Hambantota,LK,scattered clouds,6.12,81.12,78.76,Bungalow 63
235,Road Town,VG,clear sky,18.42,-64.62,80.6,"ZINGARA 76ft Catamaran, full crew-all included"
236,Anjar,IN,few clouds,23.13,70.02,76.44,Manav Residency
237,Terre Haute,US,overcast clouds,39.47,-87.41,68.0,Drury Inn & Suites Terre Haute
238,Klaksvik,FO,few clouds,62.23,-6.59,41.0,Airbnb rooms
240,Bathsheba,BB,scattered clouds,13.22,-59.52,80.6,Atlantis Hotel
242,Ugoofaaru,MV,few clouds,5.67,73.0,84.58,Ungoofaaru Inn
243,Pondicherry,IN,few clouds,11.93,79.83,80.71,Villa Shanti
244,Laguna,US,moderate rain,38.42,-121.42,57.0,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
245,Santiago Del Estero,AR,few clouds,-27.8,-64.26,68.81,Hotel Urbano
246,Kupino,RU,few clouds,54.37,77.3,35.38,Hotel Sibiria Inn
247,Sarahan,IN,clear sky,31.52,77.8,38.91,The Bushahr Heights
248,Narsaq,GL,clear sky,60.92,-46.05,24.8,Hotel Narsaq
249,Lavumisa,SZ,scattered clouds,-27.31,31.89,68.0,ROADSIDE B&B
250,Anloga,GH,few clouds,5.79,0.9,80.6,Dey Lodge
251,Kavaratti,IN,broken clouds,10.57,72.64,83.59,Bismillah Hotel And Lodging
252,Kitgum,UG,overcast clouds,3.28,32.89,73.38,Jaflo Gardens Hotel
254,Horizontina,BR,scattered clouds,-27.63,-54.31,60.01,Hotel Avenida
257,Ensley,US,clear sky,30.52,-87.27,73.4,Holiday Inn Express & Suites Pensacola W I-10
258,Shelburne,CA,overcast clouds,44.08,-80.2,57.2,The Retreat at the Farm
259,Paamiut,GL,scattered clouds,61.99,-49.67,19.6,Yeet Hotel
261,Sumter,US,clear sky,28.71,-82.08,75.99,Paradise Oaks RV Resort
262,Serenje,ZM,scattered clouds,-13.23,30.24,59.92,SERENJE SOCH INN
263,Nieuw Amsterdam,SR,broken clouds,5.88,-55.08,82.0,Hotel Stardust
264,Los Llanos De Aridane,ES,scattered clouds,28.66,-17.92,66.2,Valle Aridane
265,Obo,CF,few clouds,5.4,26.49,72.3,
266,Kennett,US,clear sky,36.24,-90.06,75.2,Americas Best Value Inn Kennett
267,Krasnoselkup,RU,overcast clouds,65.7,82.47,29.75,Krasnosel'kupnefteprodukt
268,Rock Sound,BS,broken clouds,24.9,-76.2,73.04,Rock Sound Club
269,Virginia Beach,US,broken clouds,36.85,-75.98,62.01,Hilton Virginia Beach Oceanfront
270,Matara,LK,clear sky,5.95,80.54,76.73,Amaloh Boutique Resort
271,Tias,ES,few clouds,28.96,-13.64,68.0,Hotel Beatriz Playa & SPA
272,Pafos,CY,few clouds,34.77,32.42,55.4,Elysium Hotel
273,Grand Gaube,MU,broken clouds,-20.01,57.66,78.01,Veranda Paul et Virginie Hotel & Spa
274,Sabaudia,IT,few clouds,41.3,13.03,51.01,Oasi di Kufra
275,Ergani,TR,scattered clouds,38.27,39.76,48.2,Serkan Hotel
276,Kruisfontein,ZA,overcast clouds,-34.0,24.73,52.92,Oyster Bay House Rental
277,Tabory,RU,broken clouds,58.52,64.55,24.78,
278,Odienne,CI,overcast clouds,9.51,-7.57,76.82,Oustaz Vame DIAKITE
279,Santa Rosa,PH,few clouds,14.31,121.11,87.01,Erlyn’s Sta Rosa City Home
280,Kadoma,JP,broken clouds,34.73,135.58,55.0,Hotel Agora Osaka Moriguchi
281,Caorle,IT,clear sky,45.6,12.88,57.0,Maxim
282,Abu Zabad,SD,clear sky,12.35,29.25,80.46,محي الدين نوري
284,Thinadhoo,MV,few clouds,0.53,72.93,83.95,
285,Gobabis,,scattered clouds,-22.45,18.97,62.6,Goba Lodge
286,Upington,ZA,overcast clouds,-28.45,21.26,57.2,River Place Manor
287,Karlskoga,SE,scattered clouds,59.33,14.52,44.01,Hotel Alfred Nobel
288,Bahia Blanca,AR,clear sky,-38.72,-62.27,53.01,Hotel Argos
289,Yarim,YE,clear sky,14.3,44.38,57.27,بقاله ابو محظار
290,Ventspils,LV,broken clouds,57.39,21.56,39.2,Jūras brīze
291,Benghazi,LY,clear sky,32.12,20.07,59.77,Tibesti Hotel
292,Mangaluru,IN,scattered clouds,12.87,74.88,80.6,Goldfinch Hotel
293,Chingirlau,KZ,clear sky,51.09,54.08,31.28,
294,San Andres,CO,few clouds,12.58,-81.7,82.4,Hotel Arena Blanca
295,Houma,US,overcast clouds,29.6,-90.72,75.2,Courtyard by Marriott Houma
296,Alexandria,EG,scattered clouds,31.22,29.96,60.8,Mediterranean Azur Hotel
297,Oussouye,SN,clear sky,12.48,-16.55,75.2,Auberge du Routard
299,Thivai,GR,broken clouds,38.33,23.32,52.0,"HOTEL NIOVI, ΘΕΟΔΩΡΟΥ ΣΤΥΛΙΑΝΟΣ, ΞΕΝΟΔΟΧΕΙΟ"
300,Miranda,CO,scattered clouds,3.25,-76.23,80.6,Parqueadero toño lasso
301,Kanniyakumari,IN,clear sky,8.08,77.57,82.45,New Cape Hotel
302,Isiolo,KE,broken clouds,0.35,37.58,68.72,Gaddisa Hotel
303,Khakhea,BW,clear sky,-24.69,23.49,67.05,
304,Filingue,NE,clear sky,14.35,3.32,88.32,
305,Gao,ML,clear sky,16.64,1.64,84.7,
306,Snasa,NO,broken clouds,64.25,12.38,38.46,Snåsa Hotell AS
308,Ambovombe,MG,few clouds,-25.17,46.08,71.6,MONJA Talilisoa
309,Umbertide,IT,clear sky,43.31,12.34,48.0,La Casa del Falegname
310,Bouar,CF,overcast clouds,5.93,15.6,67.87,Centre Santé de Hermann
311,Pitimbu,BR,few clouds,-7.47,-34.81,78.8,Reserva do Abiaí
312,Bandarbeyla,SO,clear sky,9.49,50.81,79.16,REER XOOSHLE GROUP
313,Caravelas,BR,few clouds,-17.71,-39.25,77.27,Pousada dos Navegantes
314,Mogadishu,SO,scattered clouds,2.04,45.34,82.22,Hotel Juba
315,Sawakin,SD,few clouds,19.11,37.33,79.39,فندق الدويم
316,Santiago De Cao,PE,few clouds,-7.96,-79.24,74.71,Fam. Palomino Gamarra
317,Umm Lajj,SA,clear sky,25.02,37.27,79.95,Tanal Hotel Apartment
318,Turukhansk,RU,overcast clouds,65.82,87.98,32.97,"ООО ""Туруханская пушнина"""
319,Ormara,PK,overcast clouds,25.21,64.64,77.74,
320,Namibe,AO,clear sky,-15.2,12.15,74.03,Chik-Chik Namibe
321,Duku,NG,scattered clouds,11.24,4.91,89.1,
323,Sarakhs,IR,clear sky,36.54,61.16,51.8,Sarakhs Abrisham Hotel
324,Hobyo,SO,scattered clouds,5.35,48.53,81.82,
325,Sakakah,SA,clear sky,29.97,40.21,69.8,Fakhamat Al Orjoana Apartment
