City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Alta Gracia,AR,2020-04-06 21:25:58,-31.65,-64.43,68.0,36,0,6.93
248,Majholi,IN,2020-04-06 21:25:58,23.5,79.92,79.95,22,30,0.85
249,Sakakah,SA,2020-04-06 21:21:56,29.97,40.21,77.0,17,100,17.22
250,Puri,IN,2020-04-06 21:25:58,19.8,85.85,80.6,88,20,8.05
251,Kankan,GN,2020-04-06 21:25:59,10.39,-9.31,83.44,52,42,8.88
252,Barreirinha,BR,2020-04-06 21:25:59,-2.79,-57.07,81.73,91,100,1.97
253,Virginia Beach,US,2020-04-06 21:22:36,36.85,-75.98,71.6,59,1,8.05
254,Caravelas,BR,2020-04-06 21:25:59,-17.71,-39.25,78.44,73,32,9.93
255,Terme,TR,2020-04-06 21:25:59,41.21,36.97,46.4,65,40,19.46
256,Niamey,NE,2020-04-06 21:25:59,13.51,2.11,98.6,6,0,1.12
257,Ullapool,GB,2020-04-06 21:25:59,57.9,-5.16,45.0,73,3,8.01
258,Sembe,CG,2020-04-06 21:25:59,1.65,14.58,72.27,81,97,1.19
259,Russkaya Polyana,UA,2020-04-06 21:26:00,49.42,31.92,44.19,55,0,1.52
260,Benguela,AO,2020-04-06 21:26:00,-12.58,13.41,78.76,83,59,1.16
261,Livingstonia,MW,2020-04-06 21:26:00,-10.61,34.11,64.09,59,42,1.32
262,Yershov,RU,2020-04-06 21:26:00,51.35,48.28,32.02,81,98,17.52
263,San Cristobal,VE,2020-04-06 21:26:00,7.77,-72.22,87.8,58,40,8.05
264,Menongue,AO,2020-04-06 21:26:00,-14.66,17.69,63.64,59,0,1.68
265,Namibe,AO,2020-04-06 21:26:00,-15.2,12.15,74.3,61,0,8.23
266,Kandalaksha,RU,2020-04-06 21:26:00,67.16,32.41,25.57,93,96,6.46
267,Wum,CM,2020-04-06 21:22:56,6.38,10.07,68.61,65,97,2.15
